Z,symbol,even_range,pronic_endpoints,pronic_chains,total
1,H,0,0,0,0
2,He,0,1,1,2
3,Li,0,0,1,1
4,Be,0,1,1,2
5,B,0,0,1,1
6,C,0,2,3,5
7,N,0,0,3,3
8,O,0,1,1,2
9,F,0,0,1,1
10,Ne,0,2,3,5
11,Na,0,0,3,3
12,Mg,1,2,5,8
13,Al,1,0,5,6
14,Si,0,2,3,5
15,P,0,0,3,3
16,S,0,1,1,2
17,Cl,0,0,1,1
18,Ar,1,3,7,11
19,K,1,0,7,8
20,Ca,1,2,8,11
21,Sc,1,0,8,9
22,Ti,0,2,3,5
23,V,0,0,3,3
24,Cr,1,2,5,8
25,Mn,1,0,5,6
26,Fe,0,2,3,5
27,Co,0,0,3,3
28,Ni,1,2,8,11
29,Cu,1,0,8,9
30,Zn,2,4,18,24
31,Ga,2,0,18,20
32,Ge,0,1,1,2
33,As,0,0,1,1
34,Se,0,2,3,5
35,Br,0,0,3,3
36,Kr,2,3,12,17
37,Rb,2,0,12,14
38,Sr,0,2,3,5
39,Y,0,0,3,3
40,Zr,1,2,12,15
41,Nb,1,0,12,13
42,Mo,2,4,23,29
43,Tc,2,0,23,25
44,Ru,1,2,8,11
45,Rh,1,0,8,9
46,Pd,0,2,3,5
47,Ag,0,0,3,3
48,Cd,1,2,5,8
49,In,1,0,5,6
50,Sn,1,3,14,18
51,Sb,1,0,14,15
52,Te,1,2,8,11
53,I,1,0,8,9
54,Xe,2,4,23,29
55,Cs,2,0,23,25
56,Ba,1,2,23,26
57,La,1,0,23,24
58,Ce,0,2,3,5
59,Pr,0,0,3,3
60,Nd,3,4,23,30
61,Pm,3,0,23,26
62,Sm,0,2,3,5
63,Eu,0,0,3,3
64,Gd,0,1,1,2
65,Tb,0,0,1,1
66,Dy,2,4,23,29
67,Ho,2,0,23,25
68,Er,1,2,8,11
69,Tm,1,0,8,9
70,Yb,2,4,36,42
71,Lu,2,0,36,38
72,Hf,2,3,34,39
73,Ta,2,0,34,36
74,W,0,2,3,5
75,Re,0,0,3,3
76,Os,1,2,8,11
77,Ir,1,0,8,9
78,Pt,2,4,23,29
79,Au,2,0,23,25
80,Hg,1,2,12,15
81,Tl,1,0,12,13
82,Pb,0,2,3,5
83,Bi,0,0,3,3
84,Po,3,4,34,41
85,At,3,0,34,37
86,Rn,0,2,3,5
87,Fr,0,0,3,3
88,Ra,1,2,30,33
89,Ac,1,0,30,31
90,Th,4,6,71,81
91,Pa,4,0,71,75
92,U,1,2,8,11
93,Np,1,0,8,9
94,Pu,0,2,3,5
95,Am,0,0,3,3
96,Cm,1,2,5,8
97,Bk,1,0,5,6
98,Cf,1,3,25,29
99,Es,1,0,25,26
100,Fm,2,3,19,24
101,Md,2,0,19,21
102,No,2,4,23,29
103,Lr,2,0,23,25
104,Rf,1,2,30,33
105,Db,1,0,30,31
106,Sg,0,2,3,5
107,Bh,0,0,3,3
108,Hs,3,4,49,56
109,Mt,3,0,49,52
110,Ds,2,4,60,66
111,Rg,2,0,60,62
112,Cn,1,2,23,26
113,Nh,1,0,23,24
114,Fl,2,4,23,29
115,Mc,2,0,23,25
116,Lv,1,2,8,11
117,Ts,1,0,8,9
118,Og,0,2,3,5
119,,0,0,3,3
120,,3,4,45,52
121,,3,0,45,48
122,,0,2,3,5
123,,0,0,3,3
124,,1,2,8,11
125,,1,0,8,9
126,,4,6,82,92
127,,4,0,82,86
128,,0,1,1,2
129,,0,0,1,1
130,,2,4,60,66
131,,2,0,60,62
132,,3,4,68,75
133,,3,0,68,71
134,,0,2,3,5
135,,0,0,3,3
136,,1,2,30,33
137,,1,0,30,31
138,,2,4,23,29
139,,2,0,23,25
140,,3,4,41,48
141,,3,0,41,44
142,,0,2,3,5
143,,0,0,3,3
144,,2,3,42,47
145,,2,0,42,44
146,,0,2,3,5
147,,0,0,3,3
148,,1,2,8,11
149,,1,0,8,9
150,,4,6,80,90
151,,4,0,80,84
152,,1,2,30,33
153,,1,0,30,31
154,,2,4,81,87
155,,2,0,81,83
156,,3,4,79,86
157,,3,0,79,82
158,,0,2,3,5
159,,0,0,3,3
160,,1,2,12,15
161,,1,0,12,13
162,,3,5,60,68
163,,3,0,60,63
164,,1,2,8,11
165,,1,0,8,9
166,,0,2,3,5
167,,0,0,3,3
168,,3,4,56,63
169,,3,0,56,59
170,,2,4,60,66
171,,2,0,60,62
172,,1,2,8,11
173,,1,0,8,9
174,,2,4,23,29
175,,2,0,23,25
176,,1,2,57,60
177,,1,0,57,58
178,,0,2,3,5
179,,0,0,3,3
180,,5,6,127,138
181,,5,0,127,132
182,,2,4,104,110
183,,2,0,104,106
184,,1,2,30,33
185,,1,0,30,31
186,,2,4,23,29
187,,2,0,23,25
188,,1,2,8,11
189,,1,0,8,9
190,,2,4,60,66
191,,2,0,60,62
192,,1,2,5,8
193,,1,0,5,6
194,,0,2,3,5
195,,0,0,3,3
196,,2,3,30,35
197,,2,0,30,32
198,,4,6,116,126
199,,4,0,116,120
200,,2,3,41,46
201,,2,0,41,43
202,,0,2,3,5
203,,0,0,3,3
204,,3,4,79,86
205,,3,0,79,82
206,,0,2,3,5
207,,0,0,3,3
208,,1,2,80,83
209,,1,0,80,81
210,,6,8,194,208
211,,6,0,194,200
212,,1,2,8,11
213,,1,0,8,9
214,,0,2,3,5
215,,0,0,3,3
216,,3,4,71,78
217,,3,0,71,74
218,,0,2,3,5
219,,0,0,3,3
220,,3,4,75,82
221,,3,0,75,78
222,,2,4,23,29
223,,2,0,23,25
224,,1,2,23,26
225,,1,0,23,24
226,,0,2,3,5
227,,0,0,3,3
228,,3,4,79,86
229,,3,0,79,82
230,,2,4,60,66
231,,2,0,60,62
232,,1,2,30,33
233,,1,0,30,31
234,,4,6,139,149
235,,4,0,139,143
236,,1,2,8,11
237,,1,0,8,9
238,,2,4,117,123
239,,2,0,117,119
240,,3,4,122,129
241,,3,0,122,125
242,,1,3,59,63
243,,1,0,59,60
244,,1,2,8,11
245,,1,0,8,9
246,,2,4,23,29
247,,2,0,23,25
248,,1,2,30,33
249,,1,0,30,31
250,,2,4,60,66
251,,2,0,60,62
252,,5,6,138,149
253,,5,0,138,143
254,,0,2,3,5
255,,0,0,3,3
256,,0,1,1,2
257,,0,0,1,1
258,,2,4,23,29
259,,2,0,23,25
260,,3,4,98,105
261,,3,0,98,101
262,,0,2,3,5
263,,0,0,3,3
264,,3,4,90,97
265,,3,0,90,93
266,,2,4,117,123
267,,2,0,117,119
268,,1,2,8,11
269,,1,0,8,9
270,,6,8,223,237
271,,6,0,223,229
272,,1,2,122,125
273,,1,0,122,123
274,,0,2,3,5
275,,0,0,3,3
276,,3,4,79,86
277,,3,0,79,82
278,,0,2,3,5
279,,0,0,3,3
280,,3,4,63,70
281,,3,0,63,66
282,,2,4,23,29
283,,2,0,23,25
284,,1,2,8,11
285,,1,0,8,9
286,,2,4,138,144
287,,2,0,138,140
288,,2,3,42,47
289,,2,0,42,44
290,,2,4,60,66
291,,2,0,60,62
292,,1,2,8,11
293,,1,0,8,9
294,,4,6,137,147
295,,4,0,137,141
296,,1,2,30,33
297,,1,0,30,31
298,,0,2,3,5
299,,0,0,3,3
300,,5,6,196,207
301,,5,0,196,201
302,,0,2,3,5
303,,0,0,3,3
304,,1,2,122,125
305,,1,0,122,123
306,,4,6,197,207
307,,4,0,197,201
308,,3,4,86,93
309,,3,0,86,89
310,,2,4,60,66
311,,2,0,60,62
312,,3,4,113,120
313,,3,0,113,116
314,,0,2,3,5
315,,0,0,3,3
316,,1,2,8,11
317,,1,0,8,9
318,,2,4,23,29
319,,2,0,23,25
320,,1,2,12,15
321,,1,0,12,13
322,,2,4,117,123
323,,2,0,117,119
324,,4,5,116,125
325,,4,0,116,120
326,,0,2,3,5
327,,0,0,3,3
328,,1,2,30,33
329,,1,0,30,31
330,,6,8,242,256
331,,6,0,242,248
332,,1,2,8,11
333,,1,0,8,9
334,,0,2,3,5
335,,0,0,3,3
336,,3,4,148,155
337,,3,0,148,151
338,,1,3,82,86
339,,1,0,82,83
340,,3,4,156,163
341,,3,0,156,159
342,,4,6,214,224
343,,4,0,214,218
344,,1,2,30,33
345,,1,0,30,31
346,,0,2,3,5
347,,0,0,3,3
348,,3,4,79,86
349,,3,0,79,82
350,,4,6,174,184
351,,4,0,174,178
352,,1,2,57,60
353,,1,0,57,58
354,,2,4,23,29
355,,2,0,23,25
356,,1,2,8,11
357,,1,0,8,9
358,,0,2,3,5
359,,0,0,3,3
360,,5,6,188,199
361,,5,0,188,193
362,,0,2,3,5
363,,0,0,3,3
364,,3,4,109,116
365,,3,0,109,112
366,,2,4,23,29
367,,2,0,23,25
368,,1,2,122,125
369,,1,0,122,123
370,,2,4,60,66
371,,2,0,60,62
372,,3,4,79,86
373,,3,0,79,82
374,,2,4,196,202
375,,2,0,196,198
376,,1,2,30,33
377,,1,0,30,31
378,,6,8,328,342
379,,6,0,328,334
380,,3,4,191,198
381,,3,0,191,194
382,,0,2,3,5
383,,0,0,3,3
384,,1,2,5,8
385,,1,0,5,6
386,,0,2,3,5
387,,0,0,3,3
388,,1,2,8,11
389,,1,0,8,9
390,,6,8,265,279
391,,6,0,265,271
392,,2,3,52,57
393,,2,0,52,54
394,,0,2,3,5
395,,0,0,3,3
396,,5,6,172,183
397,,5,0,172,177
398,,0,2,3,5
399,,0,0,3,3
400,,2,3,133,138
401,,2,0,133,135
402,,2,3,22,27
403,,2,0,22,24
404,,1,1,7,9
405,,1,0,7,8
406,,2,3,116,121
407,,2,0,116,118
408,,3,3,170,176
409,,3,0,170,173
410,,2,3,59,64
411,,2,0,59,61
412,,1,1,7,9
413,,1,0,7,8
414,,4,5,213,222
415,,4,0,213,217
416,,1,1,79,81
417,,1,0,79,80
418,,2,3,230,235
419,,2,0,230,232
420,,7,7,408,422
421,,7,0,408,415
422,,0,1,2,3
423,,0,0,2,2
424,,1,1,29,31
425,,1,0,29,30
426,,2,3,22,27
427,,2,0,22,24
428,,1,1,7,9
429,,1,0,7,8
430,,2,3,59,64
431,,2,0,59,61
432,,3,3,162,168
433,,3,0,162,165
434,,2,3,116,121
435,,2,0,116,118
436,,1,1,7,9
437,,1,0,7,8
438,,2,3,22,27
439,,2,0,22,24
440,,3,3,96,102
441,,3,0,96,99
442,,2,3,218,223
443,,2,0,218,220
444,,3,3,78,84
445,,3,0,78,81
446,,0,1,2,3
447,,0,0,2,2
448,,1,1,22,24
449,,1,0,22,23
450,,7,8,376,391
451,,7,0,376,383
452,,1,1,7,9
453,,1,0,7,8
454,,0,1,2,3
455,,0,0,2,2
456,,3,3,205,211
457,,3,0,205,208
458,,0,1,2,3
459,,0,0,2,2
460,,3,3,209,215
461,,3,0,209,212
462,,6,7,403,416
463,,6,0,403,409
464,,1,1,121,123
465,,1,0,121,122
466,,0,1,2,3
467,,0,0,2,2
468,,5,5,194,204
469,,5,0,194,199
470,,2,3,59,64
471,,2,0,59,61
472,,1,1,29,31
473,,1,0,29,30
474,,2,3,22,27
475,,2,0,22,24
476,,3,3,166,172
477,,3,0,166,169
478,,0,1,2,3
479,,0,0,2,2
480,,3,3,121,127
481,,3,0,121,124
482,,0,1,2,3
483,,0,0,2,2
484,,2,2,63,67
485,,2,0,63,65
486,,4,5,213,222
487,,4,0,213,217
488,,1,1,29,31
489,,1,0,29,30
490,,4,5,173,182
491,,4,0,173,177
492,,3,3,78,84
493,,3,0,78,81
494,,2,3,253,258
495,,2,0,253,255
496,,1,1,121,123
497,,1,0,121,122
498,,2,3,22,27
499,,2,0,22,24
500,,3,3,209,215
501,,3,0,209,212
502,,0,1,2,3
503,,0,0,2,2
504,,5,5,303,313
505,,5,0,303,308
506,,2,3,290,295
507,,2,0,290,292
508,,1,1,7,9
509,,1,0,7,8
510,,6,7,322,335
511,,6,0,322,328
512,,0,0,0,0
513,,0,0,0,0
514,,0,1,2,3
515,,0,0,2,2
516,,3,3,78,84
517,,3,0,78,81
518,,2,3,116,121
519,,2,0,116,118
520,,3,3,119,125
521,,3,0,119,122
522,,4,5,213,222
523,,4,0,213,217
524,,1,1,7,9
525,,1,0,7,8
526,,0,1,2,3
527,,0,0,2,2
528,,3,3,181,187
529,,3,0,181,184
530,,2,3,59,64
531,,2,0,59,61
532,,3,3,201,207
533,,3,0,201,204
534,,2,3,22,27
535,,2,0,22,24
536,,1,1,29,31
537,,1,0,29,30
538,,0,1,2,3
539,,0,0,2,2
540,,7,7,423,437
541,,7,0,423,430
542,,0,1,2,3
543,,0,0,2,2
544,,1,1,137,139
545,,1,0,137,138
546,,6,7,426,439
547,,6,0,426,432
548,,1,1,7,9
549,,1,0,7,8
550,,4,5,347,356
551,,4,0,347,351
552,,3,3,287,293
553,,3,0,287,290
554,,0,1,2,3
555,,0,0,2,2
556,,1,1,7,9
557,,1,0,7,8
558,,4,5,213,222
559,,4,0,213,217
560,,3,3,154,160
561,,3,0,154,157
562,,0,1,2,3
563,,0,0,2,2
564,,3,3,78,84
565,,3,0,78,81
566,,0,1,2,3
567,,0,0,2,2
568,,1,1,29,31
569,,1,0,29,30
570,,6,7,357,370
571,,6,0,357,363
572,,3,3,142,148
