Z,best_chain_k,best_chain_bits_sum,best_chain_max_gap,best_chain_popcount_sum,n_chains
1,,,,,0
2,1,2,2,1,1
3,1,2,2,1,1
4,1,3,4,1,1
5,1,3,4,1,1
6,1,3,6,2,3
7,1,3,6,2,3
8,1,4,8,1,1
9,1,4,8,1,1
10,1,4,10,2,3
11,1,4,10,2,3
12,1,4,12,2,5
13,1,4,12,2,5
14,1,4,14,3,3
15,1,4,14,3,3
16,1,5,16,1,1
17,1,5,16,1,1
18,1,5,18,2,7
19,1,5,18,2,7
20,1,5,20,2,8
21,1,5,20,2,8
22,1,5,22,3,3
23,1,5,22,3,3
24,1,5,24,2,5
25,1,5,24,2,5
26,1,5,26,3,3
27,1,5,26,3,3
28,1,5,28,3,8
29,1,5,28,3,8
30,1,5,30,4,18
31,1,5,30,4,18
32,1,6,32,1,1
33,1,6,32,1,1
34,1,6,34,2,3
35,1,6,34,2,3
36,1,6,36,2,12
37,1,6,36,2,12
38,1,6,38,3,3
39,1,6,38,3,3
40,1,6,40,2,12
41,1,6,40,2,12
42,1,6,42,3,23
43,1,6,42,3,23
44,1,6,44,3,8
45,1,6,44,3,8
46,1,6,46,4,3
47,1,6,46,4,3
48,1,6,48,2,5
49,1,6,48,2,5
50,1,6,50,3,14
51,1,6,50,3,14
52,1,6,52,3,8
53,1,6,52,3,8
54,1,6,54,4,23
55,1,6,54,4,23
56,1,6,56,3,23
57,1,6,56,3,23
58,1,6,58,4,3
59,1,6,58,4,3
60,1,6,60,4,23
61,1,6,60,4,23
62,1,6,62,5,3
63,1,6,62,5,3
64,1,7,64,1,1
65,1,7,64,1,1
66,1,7,66,2,23
67,1,7,66,2,23
68,1,7,68,2,8
69,1,7,68,2,8
70,1,7,70,3,36
71,1,7,70,3,36
72,1,7,72,2,34
73,1,7,72,2,34
74,1,7,74,3,3
75,1,7,74,3,3
76,1,7,76,3,8
77,1,7,76,3,8
78,1,7,78,4,23
79,1,7,78,4,23
80,1,7,80,2,12
81,1,7,80,2,12
82,1,7,82,3,3
83,1,7,82,3,3
84,1,7,84,3,34
85,1,7,84,3,34
86,1,7,86,4,3
87,1,7,86,4,3
88,1,7,88,3,30
89,1,7,88,3,30
90,1,7,90,4,71
91,1,7,90,4,71
92,1,7,92,4,8
93,1,7,92,4,8
94,1,7,94,5,3
95,1,7,94,5,3
96,1,7,96,2,5
97,1,7,96,2,5
98,1,7,98,3,25
99,1,7,98,3,25
100,1,7,100,3,19
101,1,7,100,3,19
102,1,7,102,4,23
103,1,7,102,4,23
104,1,7,104,3,30
105,1,7,104,3,30
106,1,7,106,4,3
107,1,7,106,4,3
108,1,7,108,4,49
109,1,7,108,4,49
110,1,7,110,5,60
111,1,7,110,5,60
112,1,7,112,3,23
113,1,7,112,3,23
114,1,7,114,4,23
115,1,7,114,4,23
116,1,7,116,4,8
117,1,7,116,4,8
118,1,7,118,5,3
119,1,7,118,5,3
120,1,7,120,4,45
121,1,7,120,4,45
122,1,7,122,5,3
123,1,7,122,5,3
124,1,7,124,5,8
125,1,7,124,5,8
126,1,7,126,6,82
127,1,7,126,6,82
128,1,8,128,1,1
129,1,8,128,1,1
130,1,8,130,2,60
131,1,8,130,2,60
132,1,8,132,2,68
133,1,8,132,2,68
134,1,8,134,3,3
135,1,8,134,3,3
136,1,8,136,2,30
137,1,8,136,2,30
138,1,8,138,3,23
139,1,8,138,3,23
140,1,8,140,3,41
141,1,8,140,3,41
142,1,8,142,4,3
143,1,8,142,4,3
144,1,8,144,2,42
145,1,8,144,2,42
146,1,8,146,3,3
147,1,8,146,3,3
148,1,8,148,3,8
149,1,8,148,3,8
150,1,8,150,4,80
151,1,8,150,4,80
152,1,8,152,3,30
153,1,8,152,3,30
154,1,8,154,4,81
155,1,8,154,4,81
156,1,8,156,4,79
157,1,8,156,4,79
158,1,8,158,5,3
159,1,8,158,5,3
160,1,8,160,2,12
161,1,8,160,2,12
162,1,8,162,3,60
163,1,8,162,3,60
164,1,8,164,3,8
165,1,8,164,3,8
166,1,8,166,4,3
167,1,8,166,4,3
168,1,8,168,3,56
169,1,8,168,3,56
170,1,8,170,4,60
171,1,8,170,4,60
172,1,8,172,4,8
173,1,8,172,4,8
174,1,8,174,5,23
175,1,8,174,5,23
176,1,8,176,3,57
177,1,8,176,3,57
178,1,8,178,4,3
179,1,8,178,4,3
180,1,8,180,4,127
181,1,8,180,4,127
182,1,8,182,5,104
183,1,8,182,5,104
184,1,8,184,4,30
185,1,8,184,4,30
186,1,8,186,5,23
187,1,8,186,5,23
188,1,8,188,5,8
189,1,8,188,5,8
190,1,8,190,6,60
191,1,8,190,6,60
192,1,8,192,2,5
193,1,8,192,2,5
194,1,8,194,3,3
195,1,8,194,3,3
196,1,8,196,3,30
197,1,8,196,3,30
198,1,8,198,4,116
199,1,8,198,4,116
200,1,8,200,3,41
201,1,8,200,3,41
202,1,8,202,4,3
203,1,8,202,4,3
204,1,8,204,4,79
205,1,8,204,4,79
206,1,8,206,5,3
207,1,8,206,5,3
208,1,8,208,3,80
209,1,8,208,3,80
210,1,8,210,4,194
211,1,8,210,4,194
212,1,8,212,4,8
213,1,8,212,4,8
214,1,8,214,5,3
215,1,8,214,5,3
216,1,8,216,4,71
217,1,8,216,4,71
218,1,8,218,5,3
219,1,8,218,5,3
220,1,8,220,5,75
221,1,8,220,5,75
222,1,8,222,6,23
223,1,8,222,6,23
224,1,8,224,3,23
225,1,8,224,3,23
226,1,8,226,4,3
227,1,8,226,4,3
228,1,8,228,4,79
229,1,8,228,4,79
230,1,8,230,5,60
231,1,8,230,5,60
232,1,8,232,4,30
233,1,8,232,4,30
234,1,8,234,5,139
235,1,8,234,5,139
236,1,8,236,5,8
237,1,8,236,5,8
238,1,8,238,6,117
239,1,8,238,6,117
240,1,8,240,4,122
241,1,8,240,4,122
242,1,8,242,5,59
243,1,8,242,5,59
244,1,8,244,5,8
245,1,8,244,5,8
246,1,8,246,6,23
247,1,8,246,6,23
248,1,8,248,5,30
249,1,8,248,5,30
250,1,8,250,6,60
251,1,8,250,6,60
252,1,8,252,6,138
253,1,8,252,6,138
254,1,8,254,7,3
255,1,8,254,7,3
256,1,9,256,1,1
257,1,9,256,1,1
258,1,9,258,2,23
259,1,9,258,2,23
260,1,9,260,2,98
261,1,9,260,2,98
262,1,9,262,3,3
263,1,9,262,3,3
264,1,9,264,2,90
265,1,9,264,2,90
266,1,9,266,3,117
267,1,9,266,3,117
268,1,9,268,3,8
269,1,9,268,3,8
270,1,9,270,4,223
271,1,9,270,4,223
272,1,9,272,2,122
273,1,9,272,2,122
274,1,9,274,3,3
275,1,9,274,3,3
276,1,9,276,3,79
277,1,9,276,3,79
278,1,9,278,4,3
279,1,9,278,4,3
280,1,9,280,3,63
281,1,9,280,3,63
282,1,9,282,4,23
283,1,9,282,4,23
284,1,9,284,4,8
285,1,9,284,4,8
286,1,9,286,5,138
287,1,9,286,5,138
288,1,9,288,2,42
289,1,9,288,2,42
290,1,9,290,3,60
291,1,9,290,3,60
292,1,9,292,3,8
293,1,9,292,3,8
294,1,9,294,4,137
295,1,9,294,4,137
296,1,9,296,3,30
297,1,9,296,3,30
298,1,9,298,4,3
299,1,9,298,4,3
300,1,9,300,4,196
301,1,9,300,4,196
302,1,9,302,5,3
303,1,9,302,5,3
304,1,9,304,3,122
305,1,9,304,3,122
306,1,9,306,4,197
307,1,9,306,4,197
308,1,9,308,4,86
309,1,9,308,4,86
310,1,9,310,5,60
311,1,9,310,5,60
312,1,9,312,4,113
313,1,9,312,4,113
314,1,9,314,5,3
315,1,9,314,5,3
316,1,9,316,5,8
317,1,9,316,5,8
318,1,9,318,6,23
319,1,9,318,6,23
320,1,9,320,2,12
321,1,9,320,2,12
322,1,9,322,3,117
323,1,9,322,3,117
324,1,9,324,3,116
325,1,9,324,3,116
326,1,9,326,4,3
327,1,9,326,4,3
328,1,9,328,3,30
329,1,9,328,3,30
330,1,9,330,4,242
331,1,9,330,4,242
332,1,9,332,4,8
333,1,9,332,4,8
334,1,9,334,5,3
335,1,9,334,5,3
336,1,9,336,3,148
337,1,9,336,3,148
338,1,9,338,4,82
339,1,9,338,4,82
340,1,9,340,4,156
341,1,9,340,4,156
342,1,9,342,5,214
343,1,9,342,5,214
344,1,9,344,4,30
345,1,9,344,4,30
346,1,9,346,5,3
347,1,9,346,5,3
348,1,9,348,5,79
349,1,9,348,5,79
350,1,9,350,6,174
351,1,9,350,6,174
352,1,9,352,3,57
353,1,9,352,3,57
354,1,9,354,4,23
355,1,9,354,4,23
356,1,9,356,4,8
357,1,9,356,4,8
358,1,9,358,5,3
359,1,9,358,5,3
360,1,9,360,4,188
361,1,9,360,4,188
362,1,9,362,5,3
363,1,9,362,5,3
364,1,9,364,5,109
365,1,9,364,5,109
366,1,9,366,6,23
367,1,9,366,6,23
368,1,9,368,4,122
369,1,9,368,4,122
370,1,9,370,5,60
371,1,9,370,5,60
372,1,9,372,5,79
373,1,9,372,5,79
374,1,9,374,6,196
375,1,9,374,6,196
376,1,9,376,5,30
377,1,9,376,5,30
378,1,9,378,6,328
379,1,9,378,6,328
380,1,9,380,6,191
381,1,9,380,6,191
382,1,9,382,7,3
383,1,9,382,7,3
384,1,9,384,2,5
385,1,9,384,2,5
386,1,9,386,3,3
387,1,9,386,3,3
388,1,9,388,3,8
389,1,9,388,3,8
390,1,9,390,4,265
391,1,9,390,4,265
392,1,9,392,3,52
393,1,9,392,3,52
394,1,9,394,4,3
395,1,9,394,4,3
396,1,9,396,4,172
397,1,9,396,4,172
398,1,9,398,5,3
399,1,9,398,5,3
400,1,9,400,3,133
401,1,9,400,3,133
402,1,9,402,4,23
403,1,9,402,4,23
404,1,9,404,4,8
405,1,9,404,4,8
406,1,9,406,5,117
407,1,9,406,5,117
408,1,9,408,4,171
409,1,9,408,4,171
410,1,9,410,5,60
411,1,9,410,5,60
412,1,9,412,5,8
413,1,9,412,5,8
414,1,9,414,6,214
415,1,9,414,6,214
416,1,9,416,3,80
417,1,9,416,3,80
418,1,9,418,4,231
419,1,9,418,4,231
420,1,9,420,4,409
421,1,9,420,4,409
422,1,9,422,5,3
423,1,9,422,5,3
424,1,9,424,4,30
425,1,9,424,4,30
426,1,9,426,5,23
427,1,9,426,5,23
428,1,9,428,5,8
429,1,9,428,5,8
430,1,9,430,6,60
431,1,9,430,6,60
432,1,9,432,4,163
433,1,9,432,4,163
434,1,9,434,5,117
435,1,9,434,5,117
